ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN,MODZCTA,cases,Total,zcta_cum.perc_pos,zip_code,total_population,total_non_hispanic,total_white_nonhispanic,total_black_nonhispanic,total_asian_alone,total_black,total_hispanic,average_household_size,pct_more_than_one_occupant_per_room,total_male,total_female,age_60_and_over,age_65_and_over,age_75_and_over,median_age,below_poverty_level,pct_below_poverty_level,household_median_income,household_mean_income,pct_services,pct_over_age_65,pct_white,pct_minority,pct_black,pct_hispanic,cases_per_1000
10307,0,Staten Island,14096.0,46028382.6297602,NY,Richmond,36,085,http://www.usps.com/,0.0,0.0,10307,351,994,35.31,10307,15232.0,13833.0,13293.0,56.0,418.0,56.0,1399.0,2.85468197214904,3.5,7448.0,7784.0,2600.0,1733.0,737.0,39.7,1075.0,7.1,80893.0,132079,0.14155528554070473,0.11377363445378151,0.8727022058823529,0.12729779411764708,0.003676470588235294,0.09184611344537816,23.04359243697479
10280,0,New York,3170.0,2234114.00737477,NY,New York,36,061,http://www.usps.com/,0.0,0.0,10280,38,175,21.71,10280,9384.0,8558.0,6612.0,164.0,1474.0,330.0,826.0,2.057296052631579,8.4,4477.0,4907.0,1233.0,858.0,234.0,38.1,336.0,3.6,169844.0,301694,0.02033120183636662,0.09143222506393862,0.7046035805626598,0.2953964194373402,0.017476555839727195,0.08802216538789429,4.049445865302642
11372,0,Jackson Heights,66636.0,20163283.8743202,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11372,2143,3817,56.14,11372,61844.0,26244.0,11022.0,1465.0,12490.0,2435.0,35600.0,2.580631561266482,12.7,30769.0,31075.0,12995.0,9640.0,3783.0,40.5,7407.0,12.1,56383.0,77408,0.38664054368456496,0.155876075286204,0.1782226246685208,0.8217773753314792,0.023688635922644072,0.5756419377789276,34.65170428820905
11004,0,Glen Oaks,11776.0,22606526.9135699,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11004,507,927,54.69,11004,15234.0,13318.0,5090.0,1003.0,6529.0,1198.0,1916.0,2.7672576284279637,4.2,7144.0,8090.0,4502.0,2982.0,1646.0,44.4,857.0,6.0,92657.0,127495,0.19396493135789045,0.19574635683339897,0.33412104503085205,0.665878954969148,0.06583956938427202,0.12577130103715373,33.28081922016542
11426,0,Bellerose,20050.0,49609163.5394305,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11426,454,973,46.66,11426,20801.0,16863.0,5834.0,1278.0,9179.0,1573.0,3938.0,3.2608181246066708,4.9,10388.0,10413.0,4528.0,3203.0,947.0,38.6,1564.0,7.5,88803.0,120580,0.2476871721506915,0.15398298158742368,0.2804672852266718,0.7195327147733281,0.06143935387721744,0.18931782125859334,21.82587375606942
11365,0,Fresh Meadows,40528.0,69385865.5947389,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11365,736,1697,43.37,11365,44983.0,36117.0,11388.0,3347.0,20070.0,4254.0,8866.0,2.8846682936227603,7.199999999999998,21359.0,23624.0,9805.0,6668.0,3138.0,40.8,5330.0,11.9,66483.0,92032,0.2182213401379832,0.14823377720472178,0.25316230575995374,0.7468376942400463,0.07440588666829691,0.19709668096836583,16.36173665607007
11375,0,Forest Hills,68555.0,55587771.8344865,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11375,1375,3219,42.72,11375,73488.0,61918.0,36724.0,1825.0,20530.0,3444.0,11570.0,2.2258988952125875,6.4,33695.0,39793.0,19694.0,14798.0,7080.0,42.7,6624.0,9.1,80542.0,137263,0.1149706979222163,0.20136620944916178,0.4997278467232745,0.5002721532767255,0.024833986501197475,0.15744067058567385,18.71053777487481
11427,0,Queens Village,21942.0,39435767.4173042,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11427,688,1397,49.25,11427,24037.0,19361.0,4762.0,4737.0,7481.0,5310.0,4676.0,3.085872,6.5,11886.0,12151.0,5792.0,3893.0,1746.0,42.0,1987.0,8.5,74581.0,116155,0.2548128342245989,0.1619586470857428,0.19811124516370596,0.8018887548362941,0.19707118192786122,0.19453342763240006,28.622540250447226
11374,0,Rego Park,42755.0,25203558.5810222,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11374,940,2214,42.46,11374,42653.0,35706.0,18568.0,1657.0,13580.0,2345.0,6947.0,2.198127317676143,9.7,19585.0,23068.0,11923.0,8996.0,4011.0,43.8,5662.0,13.3,63161.0,98297,0.22106878497923813,0.21091130752819262,0.4353269406606804,0.5646730593393197,0.03884838112207817,0.1628724825920803,22.038309145898296
11366,0,Fresh Meadows,13168.0,20358592.7502548,NY,Queens,36,081,http://www.usps.com/,0.0,0.0,11366,353,768,45.96,11366,14650.0,13352.0,5707.0,713.0,6615.0,829.0,1298.0,3.1241118066047915,5.800000000000002,6977.0,7673.0,3614.0,2501.0,1078.0,40.6,1742.0,12.0,78990.0,108863,0.17946415207304295,0.17071672354948805,0.3895563139931741,0.6104436860068259,0.048668941979522186,0.08860068259385666,24.09556313993174
